|    |   Feedback ID |   Unnamed: 0 | Unnamed: 1       | Unnamed: 2   | Unnamed: 3                                                                                                                                    | Enriched Feedback                                                                                                                                                                                                                     |
|---:|--------------:|-------------:|:-----------------|:-------------|:----------------------------------------------------------------------------------------------------------------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|  0 |             1 |           14 | Operations       | Positive     | "Although the system is old, it’s well-documented, so troubleshooting and training new employees is easier."                                  | It's a relief that the IT team responds so quickly, but sometimes the solutions feel like temporary fixes.                                                                                                                            |
|  1 |             2 |           15 | Operations       | Positive     | "The step-by-step training guides for warehouse management software have helped streamline our workflow."                                     | The new system runs smoothly most of the time, though occasional slowdowns can be disruptive.                                                                                                                                         |
|  2 |             3 |            6 | Operations       | Negative     | "Training sessions on inventory management software are outdated and don’t cover the latest system updates."                                  | "Training sessions on inventory management software are outdated and don’t cover the latest system updates." Updates seem to introduce more bugs than they fix, making it frustrating to rely on the system.                          |
|  3 |             4 |            6 | Operations       | Negative     | "The VPN connection is unreliable and slows down my work when I need remote access to company resources."                                     | "The VPN connection is unreliable and slows down my work when I need remote access to company resources." I dread using the internal ticketing system; it feels like my requests vanish into a black hole.                            |
|  4 |             5 |            3 | Finance          | Positive     | "Whenever I need help, I get a response that’s not only fast but also well-explained."                                                        | "Whenever I need help, I get a response that’s not only fast but also well-explained." The latest update improved efficiency, though it took a while to get used to the new interface.                                                |
|  5 |             6 |            9 | Customer Support | Positive     | "The email filtering system does a great job at blocking phishing attempts, reducing the risk of scams."                                      | I love how intuitive the dashboard is—finally, something that just works!                                                                                                                                                             |
|  6 |             7 |            2 | HR               | Negative     | "The HR software training felt rushed, and there weren’t enough practical exercises to get comfortable with the system."                      | Updates seem to introduce more bugs than they fix, making it frustrating to rely on the system.                                                                                                                                       |
|  7 |             8 |            1 | IT               | Positive     | "The IT onboarding training was very comprehensive, making it easy to understand company systems from day one."                               | "The IT onboarding training was very comprehensive, making it easy to understand company systems from day one." The new system runs smoothly most of the time, though occasional slowdowns can be disruptive.                         |
|  8 |             9 |            8 | Sales            | Negative     | "The sales analytics platform is too complex, and the training barely covered how to generate useful reports."                                | "The sales analytics platform is too complex, and the training barely covered how to generate useful reports." I dread using the internal ticketing system; it feels like my requests vanish into a black hole.                       |
|  9 |            10 |            5 | Operations       | Positive     | "Support has been really helpful, especially when dealing with system access problems."                                                       | The new system runs smoothly most of the time, though occasional slowdowns can be disruptive.                                                                                                                                         |
| 10 |            11 |           13 | Sales            | Negative     | "We are falling behind competitors because our analytics tools are outdated and lack AI-driven insights."                                     | The VPN is unreliable, making remote work a headache. I sometimes wonder if it’s worth the trouble.                                                                                                                                   |
| 11 |            12 |            5 | Operations       | Negative     | "Inventory management is frustrating because the system is outdated and doesn’t sync properly across locations."                              | "Inventory management is frustrating because the system is outdated and doesn’t sync properly across locations." Helpdesk responses are polite but rarely solve my actual issue. It’s exhausting to go in circles.                    |
| 12 |            13 |           13 | IT               | Positive     | "The self-paced learning options for coding and scripting tools are very useful for professional development."                                | "The self-paced learning options for coding and scripting tools are very useful for professional development." I appreciate the effort put into security, but the extra authentication steps can be frustrating when in a rush.       |
| 13 |            14 |            9 | Legal            | Positive     | "Although some tools are old, they comply with legal requirements and have been adapted well to our needs."                                   | The latest update improved efficiency, though it took a while to get used to the new interface.                                                                                                                                       |
| 14 |            15 |            4 | Marketing        | Negative     | "We are still using outdated CRM software that lacks automation features, making our workflow inefficient."                                   | Helpdesk responses are polite but rarely solve my actual issue. It’s exhausting to go in circles.                                                                                                                                     |
| 15 |            16 |            7 | Customer Support | Negative     | "The ticketing system is clunky and slow, making it difficult to manage customer inquiries efficiently."                                      | Training sessions were unhelpful—felt like we were just checking a box rather than actually learning.                                                                                                                                 |
| 16 |            17 |            2 | HR               | Negative     | "The password change policy is too frequent, making it hard to remember new passwords. Many employees end up writing them down."              | The VPN is unreliable, making remote work a headache. I sometimes wonder if it’s worth the trouble.                                                                                                                                   |
